職稱,公司名稱,要求工作經驗,要求學歷,所需技能
Sales Development Intern,英屬開曼群島商盾心科技股份有限公司台灣分公司,1年以上,大學,不拘
Channel Sales VP,摩速科技有限公司,3年以上,大學以上,不拘
Inside Sales Officer,艾睿電子股份有限公司,1年以上,專科以上,不拘
Technical Sales Engineer,Siemens Energy_西門子能源股份有限公司,1年以上,大學以上,不拘
Sales Manager - Chain Store Channel,香港商邁世國際有限公司台灣分公司,6年以上,大學、碩士,不拘
技術業務專員 Technical Sales (太陽能),夏爾特拉太陽能科技股份有限公司,3年以上,專科、大學、碩士,"['用電相關法規', '業務或通路開發', '業績目標分配與績效達成']"
Account Sales_9277,和碩集團_和碩聯合科技股份有限公司,3年以上,大學,不拘
"Server Sales Head(Irvine, CA, USA)",Advantech_研華股份有限公司,8年以上,大學、碩士,不拘
"Sales Representative ,Japan",弘凱光電股份有限公司,3年以上,大學以上,不拘
SA10148 Sales PM Leader,華碩電腦股份有限公司,6年以上,大學、碩士,不拘
NB Channel Sales(德文),微星科技股份有限公司,5年以上,專科、大學、碩士,不拘
NB Channel Sales(歐洲),微星科技股份有限公司,3年以上,專科、大學、碩士,不拘
NB Channel Sales(印度),微星科技股份有限公司,3年以上,專科、大學、碩士,不拘
NB Channel Sales(西歐),微星科技股份有限公司,3年以上,專科、大學、碩士,不拘
(派遣制)Sales Assistant,台灣昕諾飛股份有限公司,3年以上,大學以上,不拘
"Sales Specialist, South",台灣必治妥施貴寶股份有限公司,3年以上,大學以上,不拘
Indonesia Sales【Global Business Center】- Jakarta Branch,"大江生醫股份有限公司(TCI CO., Ltd)",2年以上,大學、碩士,"['國際貿易基本概念', '國外業務開發', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '簡報軟體操作']"
Sales Executive / Sr. Sales Executive - Endo (Central/ South Taiwan) 中台灣區業務代表,荷商波士頓科技有限公司台灣分公司,3年以上,大學、碩士,不拘
Sales Representative/Specialist - Facial Aesthetic - 北區業務代表,台灣愛力根藥品股份有限公司,3年以上,大學以上,"['業務或通路開發', '業績目標分配與績效達成', '客戶情報蒐集', '產品介紹及解說銷售']"
Overseas Sales (Global),凌航科技股份有限公司,不拘,大學以上,不拘
