職稱,公司名稱,要求工作經驗,要求學歷,所需技能
Marketing Manager / Director - Medical Device,台灣安麗莎醫療器材科技股份有限公司,3年以上,大學以上,不拘
板橋-Product Marketing Manager,台灣惠而浦股份有限公司,3年以上,大學、碩士,不拘
國外業務專員/經理,昇銳電子股份有限公司,5年以上,大學、碩士,不拘
Kering_Store Manager 店經理 (台北區),香港商開雲亞太股份有限公司台灣分公司,5年以上,高中、專科、大學、碩士,不拘
"Product Manager (淡水廠，每月享汽車津貼, 保障年薪14個月，享交通津貼 )",Molex Taiwan Ltd._台灣莫仕股份有限公司,6年以上,大學、碩士,不拘
產品開發PM,薩摩亞商宸展科技有限公司台灣分公司,5年以上,大學、碩士,不拘
Marketing Executive,創義達科技股份有限公司,3年以上,大學、碩士,不拘
Cloud Computing Business Development Specialist,廣達集團_雲達科技股份有限公司,2年以上,大學、碩士,不拘
CRM – Solution Architecture_資訊部 (台北),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,5年以上,大學、碩士,不拘
HR Sr. Specialist,英屬百慕達商友邦人壽保險股份有限公司台灣分公司,3年以上,大學、碩士,"['具備人力資源相關知識', '文件收發與檔案管理', '文書處理╱排版能力', '行政事務處理', '文件檔案資料處理、轉換及整合工作', '管理行事曆與會議協調安排', '勞工保險相關法規']"
Community Manager Intern,倡新科技股份有限公司,不拘,大學、碩士,"['品牌行銷管理', '品牌知名度推廣']"
Marketing Executive 行銷專員,美商優莎納股份有限公司台灣分公司,3年以上,大學,不拘
Q2C (Quote to Cash) Proposal/Contract Support Professional,IBM_台灣國際商業機器股份有限公司,2年以上,大學、碩士,不拘
業務專案經理(台北地區),聯慷資訊科技股份有限公司,2年以上,專科以上,不拘
產品行銷工程師/Product marketing engineer ,仁田國際股份有限公司,2年以上,大學、碩士,不拘
SN-外商精密五金製造Head of Manufacturing,新加坡商立可人事顧問有限公司台灣分公司,10年以上,大學以上,不拘
海空運物流業務,羅賓昇國際聯運股份有限公司,1年以上,專科、大學、碩士,不拘
PHP後端工程師 Back-End Developer (Magento),長天國際企業有限公司,不拘,大學以上,軟體程式設計
【信義區101大樓】知名外商搜尋引擎龍頭 徵Account Manager-Analytical Lead(四個月短期)  OCS_833,藝珂人事顧問股份有限公司,2年以上,大學以上,不拘
專案經理(功能安全驗證)Project  Manager of Functional Safety,TUV_台灣德國萊因技術監護顧問股份有限公司,5年以上,碩士以上,不拘
DMD Application Specialist ,諾威量測設備股份有限公司,不拘,碩士以上,不拘
Application Specialist,諾威量測設備股份有限公司,不拘,碩士以上,不拘
IDL-Production Planner 生產管理師,Gogoro Taiwan Limited_睿能創意股份有限公司,7年以上,大學、碩士,不拘
歐美線PGM(新竹),建漢科技股份有限公司,2年以上,大學以上,不拘
Planning & Supply Chain Analyst  ( Project Management ),香港商麥迪康亞太有限公司台灣分公司,5年以上,大學以上,"['專案採購管理', '年度採購計劃制定']"
Retail Director,Georg Jensen_台灣喬治傑生股份有限公司,8年以上,專科、大學、碩士,"['用人管理', '工作任務╱業績項目分配', '業績目標達成', '督導人員工作績效', '危機與議題管理', '部門績效目標管理', '賣場／門市商圈經營', '賣場／門市營運計畫與管理', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '客戶情報蒐集']"
Assistant Editor/Children's English Instructor,部落森數位文創有限公司附設新竹市私立部落森文理短期補習班,不拘,大學以上,"['規劃與執行教學活動', '設計規劃教材及教具', '設計及使用各種教學媒體', '進行教學成果評量', '擬訂教學計畫']"
Q2C (Quote to Cash) Proposal/Contract Support Administration,IBM_台灣國際商業機器股份有限公司,不拘,專科、大學、碩士,"['文件收發與檔案管理', '行政事務處理', '報表彙整與管理']"
Digital Acquisition Product PM 信用卡數位金融產品經理,花旗(台灣) 商業銀行股份有限公司,3年以上,大學、碩士,不拘
FAE工程師,韋僑科技股份有限公司,不拘,大學、碩士,不拘
西歐業務代表-法國 /European Channel Manager,科盛科技股份有限公司,不拘,大學以上,不拘
Sports Product Specialist/Supervisor,"台灣紐巴倫股份有限公司_New Balance Taiwan,Inc.",5年以上,大學以上,不拘
產品企劃工程師(LCD display/林口園區),Advantech_研華股份有限公司,3年以上,大學、碩士,不拘
產品企劃工程師- 熟Server或Storage,Advantech_研華股份有限公司,3年以上,大學、碩士,不拘
(Senior)Brand Manager,台灣阿克蘇諾貝爾塗料股份有限公司,3年以上,大學、碩士,不拘
(Sr.) Market Access Manager,台灣諾和諾德藥品股份有限公司,5年以上,大學以上,不拘
Customer Logistics & Supply Chain coordinator,暄達醫學科技股份有限公司,2年以上,專科、大學,不拘
南歐業務代表-西班牙 /European Channel  Manager,科盛科技股份有限公司,不拘,大學以上,不拘
業務專案管理_8888,和碩集團_和碩聯合科技股份有限公司,5年以上,大學、碩士,不拘
軟體專案經理,創星物聯科技股份有限公司,3年以上,大學以上,不拘
"Sr. Executive,  Customer Logistic Management ",台灣英飛凌科技股份有限公司,6年以上,大學以上,不拘
專案管理藥師,德軒科技股份有限公司,5年以上,大學、碩士,不拘
(83001)資深國外業務,神準集團_恩嘉科技股份有限公司,3年以上,大學以上,不拘
電子商務行銷專員 - 全球搜尋引擎行銷 (Web Commerce - Global Paid Search),訊連科技股份有限公司,2年以上,大學、碩士,不拘
視覺設計師 Visual Designer,Gorilla Technology Group_大猩猩科技股份有限公司,2年以上,大學以上,"['多媒體影像處理', '電腦動畫設計']"
資訊內勤業務經理_台北(全球第二大IT通路集團),聯強國際股份有限公司,3年以上,專科以上,不拘
SA20085 Country Product Manager (Malaysia),華碩電腦股份有限公司,3年以上,大學、碩士,不拘
Marketing & PR Specialist (Contractor),國際半導體產業協會_美商國際半導體產業有限公司台灣分公司,3年以上,大學、碩士,"['文書處理╱排版能力', '行政事務處理', '行銷製作物規劃與執行', '網站企劃能力', '網路活動規劃與執行', '社群媒體經營管理', '公關活動規劃與執行', '公關新聞稿撰寫與報導', '記者會規劃與執行', '傳播媒體採購規劃']"
資深應用工程師 Sr. FAE(Software-myViewBoard),ViewSonic Corporation_優派國際股份有限公司,5年以上,大學以上,不拘
策略採購,力億企業股份有限公司,10年以上,大學、碩士,不拘
Business Analyst 軟體需求商業分析師(有SA經驗為佳),希格斯資訊科技有限公司,3年以上,大學、碩士,不拘
產品企劃工程師-Intelligent System Group,Advantech_研華股份有限公司,3年以上,大學、碩士,不拘
專案工程師/工程師(功能安全驗證)Project Engineer/Engineer of Functional Safety,TUV_台灣德國萊因技術監護顧問股份有限公司,3年以上,碩士以上,不拘
Assistant Manager - Shipai Branch,英協文教有限公司,3年以上,大學、碩士,不拘
R&D Chemist-CI,台灣杜邦股份有限公司,不拘,博士,不拘
產品企劃工程師- IPC,Advantech_研華股份有限公司,3年以上,大學、碩士,不拘
公關行銷企劃 (上市櫃文創產業),三貝德數位文創股份有限公司,2年以上,大學、碩士,不拘
智慧農業應用/專案管理師或產品專案副理,富鴻網股份有限公司,3年以上,大學以上,不拘
產品專員 Applications Specialist (生化免疫)- 北區,台灣羅氏醫療診斷設備股份有限公司,2年以上,大學、碩士,不拘
資訊業務經理_台北(全球第二大IT通路集團),聯強國際股份有限公司,3年以上,大學以上,不拘
資深產品專員Senior Applications Specialist (分子生物)- 北區,台灣羅氏醫療診斷設備股份有限公司,5年以上,大學、碩士,不拘
(派遣制)北區_國內業務專員_TT,台灣昕諾飛股份有限公司,不拘,專科、大學、碩士,不拘
專案經理/專員-PM,沅聖科技股份有限公司,3年以上,大學以上,不拘
人工智慧軟體開發新創_Marketing Manager_206JL,萬寶華企業管理顧問股份有限公司,5年以上,大學以上,不拘
"Sourcing Executive, Office Furniture Components",美商漢愛有限公司台灣分公司,3年以上,大學,不拘
聯合利華(Unilever)徵Assistant Product Manager(contractor)-101V,萬寶華企業管理顧問股份有限公司,4年以上,大學以上,不拘
2020 Global Talent Program - Global Product Marketing,華碩電腦股份有限公司,不拘,大學、碩士,不拘
Project Manager,晶相光電股份有限公司,5年以上,碩士,不拘
【信義區】 全球前50大 知名瑞士商藥廠徵會計專員(年薪13個月) OCS_860,藝珂人事顧問股份有限公司,3年以上,大學以上,不拘
(Sr.) Product Manager  資深/軟體產品經理 -TC19234,"Super Micro Computer, Inc._美超微電腦股份有限公司",5年以上,大學以上,不拘
RN-【美商上市空調設備公司】台北、高雄業務,新加坡商立可人事顧問有限公司台灣分公司,不拘,專科以上,不拘
"Analyst, Marketing and CRM",VOLVO_國際富豪汽車股份有限公司,2年以上,大學、碩士,不拘
技術支援類: Application Engineer (Product: Synthesis tools),"Synopsys Taiwan Co., Ltd._台灣新思科技股份有限公司",3年以上,大學以上,不拘
Implementation Consultant,薩摩亞商富蘭克林柯維有限公司台灣分公司,5年以上,大學、碩士,"['員工教育訓練與需求分析', '蒐集與分析就業市場資訊', '人員培訓、激勵、輔導與管理', '教育訓練總體規劃與績效評估', '報表彙整與管理', '專案規劃執行╱範圍管理', '專案溝通╱整合管理', '專案管理架構及專案說明', '協商談判能力', '提案與簡報技巧', '實體活動規劃與執行', '研討會／講座活動規劃與執行', '顧客關係管理', '客戶資料更新維護', '客戶情報蒐集', '產品介紹及解說銷售', '規劃與執行教學活動', '設計規劃教材及教具', '設計及使用各種教學媒體']"
歐美線資深PGM(新竹),建漢科技股份有限公司,5年以上,大學以上,不拘
美妝消費品產品專員/PM【醫美產品】(建東廠),明基材料股份有限公司,2年以上,大學以上,不拘
企業薪轉戶客戶經理 Payroll RM (台中),星展(台灣)商業銀行股份有限公司,3年以上,大學、碩士,不拘
【醫療設備 醫療電腦】Account Manager HiT(工作地點:荷蘭),醫揚科技股份有限公司,2年以上,大學以上,不拘
Technical Marketing Manager - Japan【明基BenQ數位電子顯示菁英專案】,明基電通股份有限公司,3年以上,大學以上,不拘
外商香水品牌 Product Manager(02404-123-991),"經緯智庫股份有限公司 (MGR Consulting Co., Ltd.)",5年以上,大學以上,不拘
Mechanical Engineer (CAD/CAE based design engineer)---Taipei,台灣日電產股份有限公司,3年以上,大學、碩士,不拘
Store Manager (based in singapore) ,荷蘭商蔻馳皮件股份有限公司台灣分公司,3年以上,大學以上,不拘
產品企劃工程師-GPU(內湖陽光街),Advantech_研華股份有限公司,3年以上,大學、碩士,不拘
硬體高級工程師/資深工程師 (BU3),磐儀科技股份有限公司,3年以上,大學、碩士,硬體工程技術開發
Desire Creator (台北),香港商愛馬仕亞太區有限公司台灣分公司,3年以上,大學以上,"['櫃檯門市接待與需求服務', '服裝配搭技巧', '提供服裝指導', '髮型服飾造型搭配', '整體造型設計']"
Digital Account Manager,國際康健人壽保險股份有限公司,5年以上,大學、碩士,不拘
產品經理 Product Marketing Assistant Manager/Manager,英屬百慕達商友邦人壽保險股份有限公司台灣分公司,10年以上,大學以上,不拘
Christian Dior 精品男裝銷售主任_台北地區,Christian Dior Couture_香港商克麗絲汀迪奧有限公司台灣分公司,5年以上,高中、專科、大學,不拘
Christian Dior 精品銷售顧問_台中地區,Christian Dior Couture_香港商克麗絲汀迪奧有限公司台灣分公司,2年以上,專科、大學,不拘
西藥品牌發展暨新事業處-產品經理Product Manager,友華生技醫藥股份有限公司,2年以上,大學以上,不拘
(Sr.) Application Engineer 資深/技術支援工程師-TC18442,"Super Micro Computer, Inc._美超微電腦股份有限公司",3年以上,大學以上,不拘
【跨國外商電信業-財星五百大】Integration Engineer,藝珂人事顧問股份有限公司,不拘,大學、碩士,不拘
Tender Manager,西門子歌美颯離岸風力再生能源股份有限公司,5年以上,大學以上,不拘
資深顧客關係管理CRM專員 Sr. CRM Specialist,ViewSonic Corporation_優派國際股份有限公司,5年以上,大學以上,不拘
European Board PSM,研揚科技股份有限公司,5年以上,大學、碩士,不拘
產品服務工程師(高雄),科勝科技股份有限公司,不拘,大學、碩士,不拘
Digital Marketing and Partnership Manager,台灣聯想環球科技股份有限公司,不拘,大學以上,不拘
日本業務專員,微星科技股份有限公司,3年以上,大學、碩士,不拘
Global FAE Manager/ Sr. Engineer,和暢科技股份有限公司,3年以上,大學、碩士,"['客訴案件處理', '產品介紹及解說銷售', '作業系統基本操作', '網路資料傳輸', '資料通訊與網路應用', '功能測試(function test)', '使用者測試(Usability test)', '問題追蹤處理(Bug tracking)', '軟體整合測試', '測試環境建置規劃', '網路元件安裝及管理', '技術文件翻譯']"
產品經理/ Product Manager (汐科)(代關係企業徵才),廣錠科技股份有限公司,5年以上,大學以上,不拘
Technical Consultant(EPLAN),威圖有限公司,3年以上,專科、大學,"['專案規劃執行╱範圍管理', '專案溝通╱整合管理', '電工圖識圖與繪圖', '電動機及電氣相關知識']"
【美商賀寶芙】徵行銷規範審查專員_SMS_824,藝珂人事顧問股份有限公司,不拘,專科以上,不拘
"Project Manager (USA, California, Silicon Valley)",磐儀科技股份有限公司,2年以上,大學以上,不拘
Field Applications Engineer,美商迪思凌股份有限公司台灣辦事處,4年以上,大學、碩士,不拘
資深電子商務專員 (CM Infinity- Senior E-commerce Executive),酷碼科技股份有限公司,不拘,專科以上,不拘
Operation PM_9058/9183,和碩集團_和碩聯合科技股份有限公司,2年以上,大學、碩士,不拘
SA20220_1 Market Development Manager,華碩電腦股份有限公司,不拘,大學、碩士,不拘
國外業務專員(長期駐外_荷蘭)-GF01,富銘集團_星誠有限公司,2年以上,專科以上,"['客戶資料更新維護', '國外業務開發', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '客戶情報蒐集', '客訴案件處理', '產品介紹及解說銷售']"
Business Development Manager (事業發展經理),科林儀器股份有限公司,不拘,大學以上,不拘
(駐印尼)海外雲端銷售業務助理,樂雲智能有限公司,1年以上,大學以上,不拘
Planner,FOX Factory_瑞士商弗克司股份有限公司台灣分公司,3年以上,大學、碩士,"['專案溝通╱整合管理', '產品進銷存統計分析']"
產品管理師,公信電子股份有限公司,2年以上,大學以上,不拘
伺服器客戶專員/主管(杭州) - J1508,廣達電腦股份有限公司,5年以上,大學、碩士,不拘
CVS Manager,香港商班德威有限公司台灣分公司,3年以上,不拘,"['文件收發與檔案管理', '文書處理╱排版能力', '行政事務處理', '報表彙整與管理', '採購談判與議價技巧', '部門人力成本控制', '預算編製與成本控管', '部門績效目標管理', '行銷宣傳預算編製與控管', '產品開發預算與成本控管', '廣告預算控管']"
【外派英國】Product Manager,龍騰天下數位科技有限公司,3年以上,專科以上,不拘
產品經理-T200,上奇科技股份有限公司,1年以上,大學以上,不拘
客服專員 Customer Service,美商深特有限公司台灣分公司,不拘,專科、大學,"['熟悉進出口業務', '國際貿易基本概念', '客戶資料更新維護', '客訴案件處理']"
R0000448: Consumer IoT Business Development Manager,Trend Micro_趨勢科技股份有限公司,10年以上,大學以上,"['品牌行銷管理', '品牌知名度推廣', '產品開發預算與成本控管', '市場調查企劃與執行', '市場調查資料分析與報告撰寫', '國外業務開發', '業務或通路開發']"
SA20220 Market Development Manager,華碩電腦股份有限公司,不拘,大學、碩士,不拘
專案管理師_電源及系統相關產品(中壢),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,2年以上,大學以上,不拘
2020 Global Talent Program - Market Development Manager,華碩電腦股份有限公司,不拘,大學、碩士,不拘
SA20073 Country Product Manager (Philippines),華碩電腦股份有限公司,1年以上,大學、碩士,不拘
(GPM) 品牌PD中國區產品經理,嘉捷科技企業股份有限公司,10年以上,大學以上,不拘
《產品-PP》產品規劃專案經理 PLM,立端科技股份有限公司,5年以上,大學以上,不拘
(派遣制)南區_國內業務專員_TT,台灣昕諾飛股份有限公司,1年以上,專科以上,不拘
AOI機器視覺工程師,瑞淀光學有限公司,3年以上,大學以上,不拘
Validation Engineer(軟體產品測試工程師),香港商司亞樂科技亞太有限公司台灣分公司,不拘,大學以上,不拘
Product Development (Associate) Manager – JP Chemical Product Line,震豐股份有限公司,3年以上,大學、碩士,不拘
<WERI>Product Management,德商伍尔特電子有限公司台灣分公司,2年以上,大學,不拘
Marketing Director,敦泰電子股份有限公司,10年以上,大學、碩士,不拘
Customer Service Representative ( 3 – 6 months)定期契約,英商飛特帝亞有限公司台灣分公司,1年以上,專科、大學,不拘
APM Monaco 高雄精品銷售顧問（正職/兼職，待遇優）,APM MONACO_台灣長進實業有限公司,1年以上,專科、大學,不拘
APM Monaco 台北信義區精品銷售顧問（正職/兼職，待遇優）,APM MONACO_台灣長進實業有限公司,1年以上,專科、大學,不拘
產品行銷主任/專員(Product & marketing Supervisor/Executive) (PM function),DR.WU SKINCARE_達爾膚生醫科技股份有限公司,3年以上,大學、碩士,不拘
DVT - Corporate Applications Engineer (CAE),Mentor Graphics_愛爾蘭商明導國際股份有限公司台灣分公司,1年以上,大學以上,不拘
NL-[美商] 組織發展顧問主任 (數字分析/溝通能力強/應對進退佳/英文佳) $1M,新加坡商立可人事顧問有限公司台灣分公司,3年以上,大學以上,不拘
Curriculum Consultant(業務性質),FUNDAY_智擎數位科技股份有限公司,不拘,專科以上,不拘
Technical PM,建漢科技股份有限公司,不拘,大學、碩士,不拘
(B)FAE高級工程師/資深工程師-南港,神準科技股份有限公司,2年以上,大學以上,不拘
Flash Storage related product-Account Manager,廣明光電股份有限公司_廣達關係企業,3年以上,大學、碩士,不拘
業務部區域經理/業務資深專才(美國線),閎暉實業股份有限公司,5年以上,大學、碩士,不拘
出納專員,美傑仕國際股份有限公司,5年以上,高中以上,不拘
【ASICS】E-commerce and Digital Marketing Specialist,台灣亞瑟士股份有限公司,3年以上,大學、碩士,不拘
Inventory Control Specialist,好市多股份有限公司,1年以上,大學以上,不拘
品質標準經理,瑞傳科技股份有限公司,5年以上,大學、碩士,不拘
Technical Marketing Engineer / TME (Germany),勤誠興業股份有限公司,5年以上,大學以上,不拘
Customer Support Engineer- Bonder (HsinChu),休斯微技術股份有限公司,3年以上,專科、大學,不拘
行銷業務,怡定興科技股份有限公司,不拘,大學以上,"['行銷製作物規劃與執行', '品牌行銷管理', '異業合作規劃與執行', '提案與簡報技巧', '實體活動規劃與執行', '網站企劃能力', '網路活動規劃與執行', '廣告製作規劃與執行', '行銷宣傳預算編製與控管', '行銷策略擬定', '品牌知名度推廣', '廣告預算控管', '社群媒體經營管理', '市場調查企劃與執行', '市場調查資料分析與報告撰寫', '網站流量成效追蹤', '廣告企劃案╱文案撰寫', '廣告效益評估', '廣告創意發想與提案']"
客服代表 Customer Service Representative (6-month contract),普發真空科技股份有限公司,3年以上,專科、大學,不拘
Application Engineer(M),愛德萬測試股份有限公司,不拘,大學、碩士,不拘
Project Manager 專案管理經理 (太陽能),夏爾特拉太陽能科技股份有限公司,5年以上,碩士以上,"['專案時間╱進度控管', '專案規劃執行╱範圍管理', '專案溝通╱整合管理', '危機與議題管理', '協商談判能力']"
研發工程師,臺灣福吉米股份有限公司,不拘,博士,不拘
Beauty Editor - Native German Speaker,玩美移動股份有限公司,1年以上,大學、碩士,不拘
【D740-03091】車用裝置測試工程師,亞旭電腦股份有限公司,1年以上,大學、碩士,不拘
Logistics/ Warehouse Operation Director (Mandarin required),台灣米高蒲志國際股份有限公司,10年以上,大學,不拘
Senior Systems Applications Engineer,美商邁凌科技有限公司台灣分公司,5年以上,專科以上,不拘
OPC - Application Engineer,Mentor Graphics_愛爾蘭商明導國際股份有限公司台灣分公司,5年以上,大學、碩士,不拘
SAP 系統分析師 (FI and BI系統維護與開發),美時化學製藥股份有限公司,不拘,大學以上,不拘
Field Service Engineer (高雄),新加坡商利特股份有限公司台灣分公司,3年以上,專科、大學,不拘
國際認證專員(林口),德凱認證股份有限公司,2年以上,大學以上,不拘
RN-【知名美商日用品公司】區域業務主任/900k~1.4M/英精,新加坡商立可人事顧問有限公司台灣分公司,不拘,大學以上,不拘
"技術支援類: TCAD Application Engineer (nice to have power device experience: Si-based, GaN, SiC))","Synopsys Taiwan Co., Ltd._台灣新思科技股份有限公司",3年以上,大學以上,不拘
培訓師/培訓經理,新加坡商艾得克有限公司台灣分公司,不拘,大學以上,"['員工教育訓練與需求分析', '人員培訓、激勵、輔導與管理', '各式影片剪接後製作業', '多媒體影像處理']"
BMW台灣總代理-汎德- PR Executive,BMW總代理_汎德股份有限公司,2年以上,大學、碩士,不拘
【Shoplus】SaaS Revenue Operations Manager,愛卡拉互動媒體股份有限公司,5年以上,大學以上,不拘
集團總部 - Pizza Hut E-commerce Assistant Manager (電子商務副理),必勝客Pizza Hut/肯德基KFC_富利餐飲股份有限公司,6年以上,大學以上,不拘
Digital Marketing (Contractor),LG_台灣樂金電器股份有限公司,不拘,大學,不拘
金融業-高階主管 (管理/作業單位) (876),"經緯智庫股份有限公司 (MGR Consulting Co., Ltd.)",8年以上,大學以上,不拘
Senior Software Manager - business side,萬寶華企業管理顧問股份有限公司,不拘,大學,不拘
Field Application Engineer 應用工程師-TC19305,"Super Micro Computer, Inc._美超微電腦股份有限公司",5年以上,大學、碩士,不拘
Business Development 儲備幹部,台灣蘇富比國際房地產股份有限公司,不拘,專科、大學、碩士,不拘
【PM】NB Product Manager Specialist-2000096,宏碁股份有限公司,3年以上,大學、碩士,不拘
{台北/桃園}外商氣泡飲品FMCG_Trade Marketing Specialist**派遣職缺**SMS_859,藝珂人事顧問股份有限公司,不拘,大學以上,不拘
Compliance and Regulation Engineer 法規認證工程師,蓋亞汽車股份有限公司,3年以上,專科、大學、碩士,不拘
Account Manager_Ortho(北區),旭達生技股份有限公司,5年以上,大學、碩士,"['業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '廣告業務銷售能力', '客戶情報蒐集', '客訴案件處理', '產品介紹及解說銷售']"
1917592 (Associate) Patient Support Program Manager,台灣百靈佳殷格翰股份有限公司,3年以上,大學、碩士,不拘
Marketing PM,敦泰電子股份有限公司,不拘,大學、碩士,不拘
《產品》Technical Writer,立端科技股份有限公司,3年以上,大學、碩士,不拘
Customer Service Representative 客戶服務專員,美商台灣高新星研發有限公司台灣分公司,3年以上,大學,不拘
Product Development Associate / Product Specialist (台北工作),香港商麥迪康亞太有限公司台灣分公司,3年以上,大學以上,不拘
全球知名農用化學品集團_Logistic Officer_KTS_0963,藝珂人事顧問股份有限公司,不拘,大學以上,不拘
Garena 上海-Latam Ops Config,Garena_新加坡商競舞電競有限公司臺灣分公司,不拘,專科以上,不拘
Project Manager (內湖),英屬開曼群島商世芯股份有限公司台灣分公司,3年以上,大學、碩士,不拘
Asst. Boutique Manager (台北),香港商愛馬仕亞太區有限公司台灣分公司,5年以上,專科以上,不拘
Service Engineer - Taichung,"GETINGE GROUP TAIWAN CO., LTD._台灣悅廷和有限公司",5年以上,大學,不拘
**知名外商X消費性醫材**RD/Engineering Director_213GL,萬寶華企業管理顧問股份有限公司,10年以上,大學以上,不拘
行政助理,繽紛科技股份有限公司,不拘,專科、大學,"['文件收發與檔案管理', '文書處理╱排版能力', '行政事務處理', '報表彙整與管理', '電話接聽與人員接待事項', '文件或資料輸入建檔處理', '文件檔案資料處理、轉換及整合工作', '零用金管理', '管理行事曆與會議協調安排']"
醫藥事務副理-Primary Care 2,台灣第一三共股份有限公司,3年以上,大學、碩士,不拘
[ADAS事業處]Product management requirement-Administrator ,為升電裝工業股份有限公司,3年以上,大學、碩士,"['市場調查企劃與執行', '市場調查資料分析與報告撰寫', '市場供應資訊蒐集評估分析']"
Software Product Manager(內湖陽光街),Advantech_研華股份有限公司,不拘,大學、碩士,不拘
Field Application Engineer_應用工程師,美商泰瑞達有限公司台灣分公司,不拘,大學、碩士,不拘
Business Development Associate (MD #379),孚創雲端股份有限公司,不拘,大學以上,不拘
Position: Amazon Specialist (Amazon experience is a must),信孚產業股份有限公司,2年以上,專科、大學,不拘
Unilever 聯合利華 _Assistant CCD Manager / Associate CCD Manager (Trade Marketing)_通路行銷襄理/副理_SMS_855,藝珂人事顧問股份有限公司,2年以上,專科以上,不拘
【APEX Germany】Finance Controller,雃博股份有限公司,3年以上,大學、碩士,不拘
★高薪徵才 ~ 徵得是你★ 業務人才(全台),華電聯網股份有限公司,3年以上,專科、大學、碩士,不拘
Social Media & Influencer Marketing Specialist(preferably native or near-native English speaker),ViewSonic Corporation_優派國際股份有限公司,2年以上,大學、碩士,不拘
Representative. Territory Business Development,Amazon Web Services Taiwan Limited_台灣亞馬遜網路服務有限公司,3年以上,專科以上,不拘
[新竹]FAE資深工程師,穎崴科技股份有限公司,3年以上,大學以上,不拘
PARALEGAL,台灣華特迪士尼股份有限公司,不拘,大學以上,不拘
FAE應用工程師 FAE (Large Format Display),ViewSonic Corporation_優派國際股份有限公司,5年以上,大學以上,不拘
Director of Operations(Rinchem International),台灣瑞肯物流股份有限公司,3年以上,大學以上,不拘
外商 - Application Engineering Director (Wireless),Morgan Philips Hong Kong Limited Taiwan Branch_香港商博禹國際顧問有限公司台灣分公司,10年以上,大學以上,不拘
（高雄）全球電力和自動化技術領域的領導廠商，在台成立32年，誠徵「Engineer-DCS」，如果您具備相關專業歷練三到五年，並且英文中等到流利之間，歡迎您加入我們的團隊！（KTS_0714）,藝珂人事顧問股份有限公司,3年以上,大學、碩士,不拘
Product Management Assistant Specialist,好住科技股份有限公司,不拘,專科以上,不拘
行銷部副理,思納捷科技股份有限公司,5年以上,專科以上,不拘
資深應用工程師 (ADT),誌成科技有限公司,5年以上,碩士,不拘
【總公司】Int'l Business Development Manager,六角國際事業股份有限公司,5年以上,大學、碩士,不拘
Executive Assistant to the President (Recruit for Indonesian affiliates),摩恩富珥生技有限公司,3年以上,專科以上,"['行銷製作物規劃與執行', '異業合作規劃與執行', '實體活動規劃與執行', '網路活動規劃與執行', '研討會／講座活動規劃與執行', '行銷宣傳預算編製與控管', '行銷策略擬定', '品牌知名度推廣', '廣告預算控管', '顧客關係管理', '社群媒體經營管理', '市場調查企劃與執行']"
美洲業務代表,立普思股份有限公司,3年以上,專科以上,不拘
Marketing And Business Development Manager (Cambodia),馬來西亞商夫瑞有限公司台灣分公司,5年以上,大學以上,不拘
"聯合利華 Unilever CD Intern_Hyper Channel 客戶發展部實習生 (6 months, target from June to Nov)_SMS_855",藝珂人事顧問股份有限公司,不拘,大學以上,不拘
Product Test Engineer,台灣捷康綜合有限公司,3年以上,大學以上,不拘
DI-Electrical R&D Engineer,愛德萬測試股份有限公司,不拘,大學、碩士,不拘
【薪資福利佳/三節/績效獎金- Marketing Manager】,磐實股份有限公司,8年以上,大學以上,不拘
Technical PM(Taipei),愛瑪麗歐股份有限公司,3年以上,專科以上,不拘
Technical  Product Management_解決方案開發部 (桃五),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,5年以上,大學、碩士,不拘
"Executive, Retail Merchandising(Contractor 6 Months)",台灣彪馬股份有限公司_PUMA Taiwan Sports Ltd.,3年以上,大學、碩士,"['專案採購管理', '產品進銷存統計分析', '產品介紹及解說銷售', '市場供應資訊蒐集評估分析', '商品採購作業']"
台中-國外業務(底薪32K↑+高獎金)【Company Expansion】,薩摩亞商奧凡國際有限公司台灣分公司,1年以上,高中、專科、大學、碩士,不拘
台中-大陸業務(底薪28K↑+高獎金)【擴編】,薩摩亞商奧凡國際有限公司台灣分公司,1年以上,高中、專科、大學、碩士,不拘
U－C#/.NET Senior Software Architect（工作地：加州）,緯創軟體股份有限公司,7年以上,大學,"['專案規劃執行╱範圍管理', '專案溝通╱整合管理', '專案管理架構及專案說明', '系統架構規劃', '軟體工程系統開發', '軟體整合測試']"
Training Specialist (Trainer) - Skincare (Recruit for Indonesian affiliates),摩恩富珥生技有限公司,3年以上,專科以上,"['行銷製作物規劃與執行', '異業合作規劃與執行', '實體活動規劃與執行', '研討會／講座活動規劃與執行', '行銷宣傳預算編製與控管', '行銷策略擬定', '品牌知名度推廣', '顧客關係管理', '社群媒體經營管理', '市場調查企劃與執行']"
高雄-大陸業務(底薪26K↑+高獎金)【擴編】,薩摩亞商奧凡國際有限公司台灣分公司,2年以上,專科、大學、碩士,不拘
